name,rate,category,location,info_link,cover_link
霸王别姬,9.6,剧情,中国大陆,https://movie.douban.com/subject/1291546/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
棱角杯,9.6,剧情,中国大陆,https://movie.douban.com/subject/26672579/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2289885277.jpg
茶馆,9.5,剧情,中国大陆,https://movie.douban.com/subject/1461403/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2262122096.jpg
背靠背，脸对脸,9.4,剧情,中国大陆,https://movie.douban.com/subject/1307856/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.jpg
遥望南方的童年,9.4,剧情,中国大陆,https://movie.douban.com/subject/3037329/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2516014437.jpg
横空出世,9.3,剧情,中国大陆,https://movie.douban.com/subject/1464526/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p672536444.jpg
末代皇帝,9.2,剧情,中国大陆,https://movie.douban.com/subject/1293172/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg
活着,9.2,剧情,中国大陆,https://movie.douban.com/subject/1292365/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg
鬼子来了,9.2,剧情,中国大陆,https://movie.douban.com/subject/1291858/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg
狐妖小红娘剧场版：王权富贵,9.2,剧情,中国大陆,https://movie.douban.com/subject/26946612/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2409467410.jpg
剃头匠,9.2,剧情,中国大陆,https://movie.douban.com/subject/3097352/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2190291916.jpg
哀乐中年,9.2,剧情,中国大陆,https://movie.douban.com/subject/4719384/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2029574250.jpg
大宅门,9.2,剧情,中国大陆,https://movie.douban.com/subject/5301572/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1964425586.jpg
芙蓉镇,9.1,剧情,中国大陆,https://movie.douban.com/subject/1297880/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2174804034.jpg
天堂回信,9.1,剧情,中国大陆,https://movie.douban.com/subject/1418076/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1090024531.jpg
金猴降妖,9.1,剧情,中国大陆,https://movie.douban.com/subject/1780256/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1988812771.jpg
紫陀螺,9.1,剧情,中国大陆,https://movie.douban.com/subject/2361040/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2517536598.jpg
难夫难妻,9.1,剧情,中国大陆,https://movie.douban.com/subject/2057398/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2593730144.jpg
越剧红楼梦,9.1,剧情,中国大陆,https://movie.douban.com/subject/4827535/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2590299418.jpg
荒山泪,9.1,剧情,中国大陆,https://movie.douban.com/subject/3724033/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1945500364.jpg
穆桂英挂帅,9.1,剧情,中国大陆,https://movie.douban.com/subject/2340950/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2345664648.jpg
我不是药神,9.0,剧情,中国大陆,https://movie.douban.com/subject/26752088/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg
神女,9.0,剧情,中国大陆,https://movie.douban.com/subject/1302210/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2028929312.jpg
红楼梦,9.0,剧情,中国大陆,https://movie.douban.com/subject/1329969/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2322451692.jpg
肖申克的救赎,9.7,剧情,美国,https://movie.douban.com/subject/1292052/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
控方证人,9.6,剧情,美国,https://movie.douban.com/subject/1296141/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
阿甘正传,9.5,剧情,美国,https://movie.douban.com/subject/1292720/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1484728154.jpg
辛德勒的名单,9.5,剧情,美国,https://movie.douban.com/subject/1295124/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
控方证人,9.5,剧情,美国,https://movie.douban.com/subject/5294851/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2367853261.jpg
十二怒汉（电视版）,9.5,剧情,美国,https://movie.douban.com/subject/10583098/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2153875961.jpg
唐顿庄园：2015圣诞特别篇,9.5,剧情,美国,https://movie.douban.com/subject/26320001/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2292519115.jpg
威尔和格蕾丝 告别秀,9.5,剧情,美国,https://movie.douban.com/subject/2263259/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2408281629.jpg
泰坦尼克号,9.4,剧情,美国,https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
忠犬八公的故事,9.4,剧情,美国,https://movie.douban.com/subject/3011091/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg
十二怒汉,9.4,剧情,美国,https://movie.douban.com/subject/1293182/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
疑犯追踪 试播集,9.4,剧情,美国,https://movie.douban.com/subject/24700683/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1974739828.jpg
拽妹黛薇儿要上大学了没,9.4,剧情,美国,https://movie.douban.com/subject/2054458/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2529714509.jpg
拜访森林,9.4,剧情,美国,https://movie.douban.com/subject/25741291/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2591308441.jpg
盗梦空间,9.3,剧情,美国,https://movie.douban.com/subject/3541415/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
楚门的世界,9.3,剧情,美国,https://movie.douban.com/subject/1292064/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
星际穿越,9.3,剧情,美国,https://movie.douban.com/subject/1889243/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg
教父,9.3,剧情,美国,https://movie.douban.com/subject/1291841/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
乱世佳人,9.3,剧情,美国,https://movie.douban.com/subject/1300267/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
摩登时代,9.3,剧情,美国,https://movie.douban.com/subject/1294371/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg
城市之光,9.3,剧情,美国,https://movie.douban.com/subject/1293908/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg
生活多美好,9.3,剧情,美国,https://movie.douban.com/subject/1293749/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p771490367.jpg
博弈论,9.3,剧情,美国,https://movie.douban.com/subject/3272459/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2573535453.jpg
查理布朗男孩,9.3,剧情,美国,https://movie.douban.com/subject/1295406/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2593215710.jpg
蝙蝠侠：黑暗骑士,9.2,剧情,美国,https://movie.douban.com/subject/1851857/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
指环王3：王者无敌,9.2,剧情,美国,https://movie.douban.com/subject/1291552/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg
教父2,9.2,剧情,美国,https://movie.douban.com/subject/1299131/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg
美国往事,9.2,剧情,美国,https://movie.douban.com/subject/1292262/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
超感猎杀：完结特别篇,9.2,剧情,美国,https://movie.douban.com/subject/27040774/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2520264840.jpg
寻子遇仙记,9.2,剧情,美国,https://movie.douban.com/subject/1293270/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2506524685.jpg
地下,9.2,剧情,美国,https://movie.douban.com/subject/1292206/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1833776334.jpg
怦然心动,9.1,剧情,美国,https://movie.douban.com/subject/3319755/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg
当幸福来敲门,9.1,剧情,美国,https://movie.douban.com/subject/1849031/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg
何以为家,9.1,剧情,美国,https://movie.douban.com/subject/30170448/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg
少年派的奇幻漂流,9.1,剧情,美国,https://movie.douban.com/subject/1929463/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
指环王2：双塔奇兵,9.1,剧情,美国,https://movie.douban.com/subject/1291572/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg
闻香识女人,9.1,剧情,美国,https://movie.douban.com/subject/1298624/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg
穿条纹睡衣的男孩,9.1,剧情,美国,https://movie.douban.com/subject/3008247/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg
死亡诗社,9.1,剧情,美国,https://movie.douban.com/subject/1291548/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg
饮食男女,9.1,剧情,美国,https://movie.douban.com/subject/1291818/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
完美的世界,9.1,剧情,美国,https://movie.douban.com/subject/1300992/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p792403691.jpg
飞越疯人院,9.1,剧情,美国,https://movie.douban.com/subject/1292224/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
大独裁者,9.1,剧情,美国,https://movie.douban.com/subject/1295646/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1960167314.jpg
十二怒汉,9.1,剧情,美国,https://movie.douban.com/subject/1293989/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2337734157.jpg
光荣之路,9.1,剧情,美国,https://movie.douban.com/subject/1292969/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p955392372.jpg
将军号,9.1,剧情,美国,https://movie.douban.com/subject/1292778/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2248676081.jpg
丛林赤子心,9.1,剧情,美国,https://movie.douban.com/subject/1473562/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2321248846.jpg
熊的故事,9.1,剧情,美国,https://movie.douban.com/subject/1300334/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2454268056.jpg
鳄鱼波鞋走天涯,9.1,剧情,美国,https://movie.douban.com/subject/1301811/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2188484411.jpg
纽伦堡的审判,9.1,剧情,美国,https://movie.douban.com/subject/1292589/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p922207281.jpg
卡门,9.1,剧情,美国,https://movie.douban.com/subject/1448669/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2589350775.jpg
星期天与乔治同游公园,9.1,剧情,美国,https://movie.douban.com/subject/1304265/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2526000471.jpg
史努比，回家吧,9.1,剧情,美国,https://movie.douban.com/subject/1297777/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2593214949.jpg
人鼠之间,9.1,剧情,美国,https://movie.douban.com/subject/26431592/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2252276881.jpg
飞屋环游记,9.0,剧情,美国,https://movie.douban.com/subject/2129039/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg
罗马假日,9.0,剧情,美国,https://movie.douban.com/subject/1293839/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg
猫鼠游戏,9.0,剧情,美国,https://movie.douban.com/subject/1305487/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg
指环王1：魔戒再现,9.0,剧情,美国,https://movie.douban.com/subject/1291571/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg
美丽心灵,9.0,剧情,美国,https://movie.douban.com/subject/1306029/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg
音乐之声,9.0,剧情,美国,https://movie.douban.com/subject/1294408/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265302.jpg
搏击俱乐部,9.0,剧情,美国,https://movie.douban.com/subject/1292000/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg
拯救大兵瑞恩,9.0,剧情,美国,https://movie.douban.com/subject/1292849/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg
影武者,9.0,剧情,美国,https://movie.douban.com/subject/1303067/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p997945263.jpg
海蒂,9.0,剧情,美国,https://movie.douban.com/subject/1925081/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2270779943.jpg
金色池塘,9.0,剧情,美国,https://movie.douban.com/subject/5135239/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2507466255.jpg
淘金岁月,9.0,剧情,美国,https://movie.douban.com/subject/1928887/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2518163022.jpg
做我的情人吧，查理·布朗,9.0,剧情,美国,https://movie.douban.com/subject/2972559/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2531986271.jpg
霸王别姬,9.6,剧情,中国香港,https://movie.douban.com/subject/1291546/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
背靠背，脸对脸,9.4,剧情,中国香港,https://movie.douban.com/subject/1307856/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.jpg
无间道,9.2,剧情,中国香港,https://movie.douban.com/subject/1307914/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
活着,9.2,剧情,中国香港,https://movie.douban.com/subject/1292365/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg
南海十三郎,9.2,剧情,中国香港,https://movie.douban.com/subject/1303913/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2328424489.jpg
紫钗记,9.1,剧情,中国香港,https://movie.douban.com/subject/1401219/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2274298717.jpg
无间道(正序版),9.0,剧情,中国香港,https://movie.douban.com/subject/4860078/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2236103938.jpg
上海滩,9.0,剧情,中国香港,https://movie.douban.com/subject/6311260/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2344833803.jpg
无言的山丘,9.2,剧情,中国台湾,https://movie.douban.com/subject/1298944/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2522310203.jpg
少年派的奇幻漂流,9.1,剧情,中国台湾,https://movie.douban.com/subject/1929463/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
饮食男女,9.1,剧情,中国台湾,https://movie.douban.com/subject/1291818/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
一一,9.0,剧情,中国台湾,https://movie.douban.com/subject/1292434/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg
夏目友人帐 第五季 特别篇 一夜酒杯,9.5,剧情,日本,https://movie.douban.com/subject/27011740/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2454093081.jpg
夏目友人帐 第六季 特别篇 铃响的残株,9.5,剧情,日本,https://movie.douban.com/subject/27121232/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2497232204.jpg
北国之恋：1987初恋,9.5,剧情,日本,https://movie.douban.com/subject/3794147/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2472830331.jpg
北国之恋：1984夏天,9.5,剧情,日本,https://movie.douban.com/subject/3794146/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2472828763.jpg
北国之恋：1992自立,9.5,剧情,日本,https://movie.douban.com/subject/2025124/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2508557701.jpg
北国之恋：1989归乡,9.5,剧情,日本,https://movie.douban.com/subject/3794149/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2522940189.jpg
北国之恋：1998时代,9.5,剧情,日本,https://movie.douban.com/subject/2025138/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2323647341.jpg
北国之恋：2002遗言,9.5,剧情,日本,https://movie.douban.com/subject/2025137/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2508558327.jpg
千与千寻,9.4,剧情,日本,https://movie.douban.com/subject/1291561/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
新世纪福音战士剧场版：Air/真心为你,9.4,剧情,日本,https://movie.douban.com/subject/1308892/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2250316512.jpg
夏目友人帐 第六季 特别篇 梦幻的碎片,9.4,剧情,日本,https://movie.douban.com/subject/27167055/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2501694602.jpg
北国之恋：1983冬天,9.4,剧情,日本,https://movie.douban.com/subject/3794145/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2472822148.jpg
北国之恋：1995秘密,9.4,剧情,日本,https://movie.douban.com/subject/2025130/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2508557411.jpg
转世熏风,9.4,剧情,日本,https://movie.douban.com/subject/25745644/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2317900073.jpg
福音战士新剧场版：破,9.3,剧情,日本,https://movie.douban.com/subject/2567646/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1026522114.jpg
夏目友人帐：曾几何时下雪之日,9.3,剧情,日本,https://movie.douban.com/subject/25736048/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2151897085.jpg
切腹,9.3,剧情,日本,https://movie.douban.com/subject/1304920/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2151748293.jpg
